Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
xaren	xɑɾɛn	n	nightmare																								
xasebn	xɑsɛbn	n	tyrant; despot; dictator																								
xatayka	xɑtɑjkɑ	n	usurper; position stealer (from miitayse)																								
xavi	xɑvi	n	loss (of something/an item; often times a person or used as an emotion)																								
xavika	xɑvikɑ	n	loser																								
xavite	xɑvitɛ	n	loss (of a game or war)																								
xaxuobo	xɑxuobo	n	obsession																								
xaxuoboka	xɑxuobokɑ	n	stan; a bit of an over-obsessesd fan (kinda scary)																								
xayaen	xɑyen	n	bad mood; angry/violent mood; fit of temper; temper tantrum 																								
xe'i	xɛʔi	n	thing																								
xema	xɛmɑ	n	popular tart fruit drink (often carbonated like soda)	food																							
xenusjo	xɛnuʃʒo	n	canary (from warninɡ silence)	animal; wbw																							
xet	xɛt	n	snake																								
xet'e	xɛtʔɛ	n	rain snake 	animal; reptile																							
xeth'ol	xɛθʔol	n	trail of a snake through the sand (lit. snake dance)																								
xethqe'e	xɛθqɛʔɛ	n	rattle snake	animal; rattle snake 																							
xetjehun	xɛtʒɛhun	n	poisonous snake																								
xetkau	xɛtkaʊ	n	caution; wariness (lit. snake tongue)																								
xetsae	xɛtse	n	chain snake																								
xetvujehii	xɛtvuʒɛhɪ	n	acidic snake (extremely so; specific type)																								
xetyng	xɛtəŋɡ	n	creature (animal thing)																								
xiya	xijɑ	n	scorpion																								
xiyenkyen	xijɛnkʲɛn	n	platypus (from scorpion beaver)	animal; mammal																							
xocta	xoçtɑ	n	right (moral or legal entitlement)																								
xqiil	xqɪl	n	epic poetry (usually very long and verbal)	culture																							
xtan	xtɑn	n	desert; dust bowl																								
xuji	xuʒi	n	cat 	animal; mammal																							
xujikh	xuʒikʰ	n	manul/palla's cat or a leopard lemur (ice cat)	animal; mammal																							
xujimeut	xuʒimœt	n	owl cat (gryphon)	mount																							
xujukii	xuʒukɪ	n	dandelion from cat tooth or leafy cat; often xujuk)	plant																							
xuo	xuo	n	interest; enjoyment; hobby 																								
xuobo	xuobo	n	interest; fixation (something to fangirl over)																								
xuoboka	xuobokɑ	n	fan (person)																								
yad	jɑd	n	field																								
yaek	jek	n	pillar																								
yaekim	jekim	n	doctrine; body of knowledge; core concepts or principles (sometimes yaekimri which more often acts as plural; lit. pillar knowledge essence)																								
yaen	jen	n	temperment; mood																								
yaentya	jentʲɑ	n	business (lit place of mood)																								
yaentyasho	jentʲɑʃo	n	business leader (CEO basically)																								
yaesa	jesɑ	n	pasta; more often of the noodle variety 	food																							
yaga	jɑgɑ	n	claw																								
yaname'e	jɑnɑmɛʔɛ	n	autumn weather	weather																							
Yanua	jɑnuɑ	n	Autumn	time																							
yaryn	jɑɾən	n	bridge																								
yau	jaʊ	n	rod; shaft; beam; pole; bar																								
yau	jaʊ	n	city; trade center																								
yautolu	jaʊtolu	n	port city; trading hub																								
yayi	jɑji	n	vine	plant																							
yeu	jœ	n	poem																								
yeu	jœ	n	ember																								
yeu'o	jœʔo	n	poem meter																								
yeuka	jœkɑ	n	poet																								
yeuthu	jœθu	n	poetry (lit. poem flow)																								
yeuze	jœzɛ	n	charcoal																								
yeuzere	jœzɛɾɛ	n	coal																								
yhai	əhai	n	moth	animal; insect																							
Yhava	əhɑvɑ	n	creator god (origin of souls; both singular and dual)	name																							
Yhavliis	əhɑvlɪs	n	Sunday (creator god day)	time																							
yhen	əhɛn	n	sand (specifically the type used for glass)																								
yhyna	əhənɑ	n	peace; harmony; tranquility																								
ynjo	ənʒo	n	inside; interior 																								
ynys	ənəs	n	island																								
yog	jog	n	west	direction																							
yoj	joʒ	n	child; kid	family																							
yojelchibka	joʒɛltʃibkɑ	n	child hater (your own child; derogatory)																								
yojhibka	joʒhibkɑ	n	child hater (derogatory)																								
yojyt	joʒət	n	children (more specifically children of one family; else it's yojyu)																								
yojytae'enmiohe	joʒəteʔɛnmiohɛ	n	The feeling of ease when you finally managed to get the kids to bed (from kids lay down good feeling)																								
yona	jonɑ	n	movement; motion																								
Yonvel	jonvɛl	n	May (movement month; cor. w/ november)	time																							
yriae	əɾie	n	bamboo (hardy and desert tolerant; from faithful water; stemming from that these bamboo only grow in drinkable water)	plant																							
yriae'a	əɾieʔɑ	n	bamboo shoot	plant																							
yrimauu	əɾimaʊu	n	hunting dog (smaller than amyt; also yrikiim or kiimyri)	animal; wbw 																							
ystal	əstɑl	n	reindeer (often used as a term for various pack animals)	animal; mammal																							
yueben	juɛbɛn	n	ship stranded in doldrums (lit dry sail)	sailing																							
yuky	jukə	n	change; metamorphosis																								
yumui	jumui	n	torii gate; esp a gate in holy places as a boundary between worlds																								
yuntata	juntɑtɑ	n	character																								
yusae	juse	n	cottonwood	tree																							
yusin	jusin	n	wake (of a ship)																								
yvonte	əvontɛ	n	safety; shelter; refuge																								
yynu	jənu	n	shadow																								
yyoi	əjɔɪ	n	birch tree	tree																							
yyta	jətɑ	n	salmon	animal; fish																							
yytyng	jətəŋg	n	animal 	animal																							
zang	zɑŋɡ	n	ears (generally animalistic)																								
zangauu	zɑŋaʊu	n	wolf ears flower (similar to tulip; bluish gray petals; longer and droopier variety called zangiip)	plant; wbw																							
zekfe	zɛkθɛ	n	upwind																								
zisi	zisi	n	daughter	family																							
ziya	zijɑ	n	peach	food																							
ca; cym	çɑ; çəm	int	well; um; uh (filler word)																								
ches	tʃɛs	int	okay; alright; fine (semi-affirmative; not so happy)																								
chi	ʧi	int	yesǃ alrightǃ (happy excited affirmative)																								
cyg/cyx	çəg/çəx	int	ah; ah yes; huh; wow; (filler word that expresses a bit of disbelief or agreement)																								
hwa	hwɑ	int	hey (addressing someone next to you); also often aej or 'ei or 'ae																								
hwe	hwɛ	int	whatǃ you kidding? (express surprise)																								
iinaebo	ɪnebo	int	good luck! (lit big luck)																								
ka	kɑ	int	no (disagreement) [winner of the GRAND TSEVHU YES/NO TOURNAMENT! (tm)]																								
liisnesa auri	lɪsnɛsɑ aʊɾi	int	happy birthday 																								
oic	ɔiç	int	hey; hey you; hey *name* (yell trying to catch attention from a distance)																								
orumoni	oɾumoni	int	then again (lit. on top of then)																								
sanu	sɑnu	int	please																								
te	tɛ	int	yes (neutral agreement; affirmative) [winner of the GRAND TSEVHU YES/NO TOURNAMENT! (tm)]																								
tegume	tɛgumɛ	int	however; but; wait; hold on (sort of a thing to say when you need to say something; to interrupt the convo; also tanogi)																								
tiru	tiɾu	int	welcome (at an establishment)																								
tst /tssst	tst	int	psst (to catch attention)																								
uya	ujɑ	int	what? huh? (express confusion; always question; often uy or ya)																								
wbe	ʍubɛ	int	awesome; cool; wow; the sound of awe																								
wri	ʍuɾi	int	maybe; perhaps (unsure)																								
xaqat	xɑqɑt	int	explitive (dang itǃ)																								
kurae	kuɾe	conj; post; int	anyway; in spite of; despite; nevertheless; even so																								
liin	lɪn	conj; post	like; as (comparison); such as (for nouns); existing as; same as (nominal)																								
sagyn	sɑɡən	conj; post	as; so that; up to the point; to the extent of or degree that (used sometimes in comparisons; also can be used as a clause marker for verbs like show or say especially in passive formations (roots biin and et/en) as a way of forming full clauses like quotes) from sagri and thyn)																								
shang	ʃɑŋɡ	conj; post	in doing so; by doing so; causing; resulting; that																								
shoku	ʃoku	conj; post	for; so that; since; therefore; because (of); as a result of (check with -'ia suffix; shoku gets used more with clauses and -'ia gets used with phrases; might also overlap a bit with hmaeci)																								
tho	θo	conj; post	from (...) to (...) (any kind of range) uses dual form in a post phrase if the same word; otherwise; treated like conj																								
vra	vɾɑ	conj; post	than (comparative)																								
sivmeku	sivmɛku	conj; phr	behold; for behold; so pay attention (from pay attention and so)																								
tano	tɑno	conj; int	also; too; and; and then (used outside of clauses as more a transition/introduction to a new line of thought; or as a response to what someone is saying (like go on); from today also); when used as "tanogi" it means wait; hold on; let me talk 																								
enra	ɛnɾɑ	conj; adv	namely; that is; such as; in other words (from enraxa - "continue saying"; used when introducing lists or clarifying/rewording; often where English uses colon)																								
tegad/tegao	tɛɡɑd/tɛɡɑo	conj; adv	in a/the way that (used often when describing how a whole action affects something: basically tega- compounds with clause marker to make the whole clause takes a case; tega- agrees with active -d or stative -o)																								
cymat	çəmɑt	conj	neither/nor (nominal); used as a conj between two (ie neither you nor me) -- if used to refer to a whole group (ie neither of us) use cyhe- (ie cyhebe) = not piece of us																								
cysen	çəsɛn	conj	neither/nor (verbal; adv; adj)																								
cyseun	çəsœn	conj	neither/nor (clausal)																								
kho	kʰo	conj	or; either/or; (either one or the other; but not both) (verbal; adv; adj)																								
khon	kʰon	conj	or; either/or; (either one or the other; but not both) (clausal)																								
maph	mɑɸ	conj	and/or (one; the other; or both) (nominal)																								
me	mɛ	conj	and (verbal; adv; adj) (optional (else -g- on added verbs); used often with CL1 verbs; esp active; when verbs are far away; or in compound verbs in partly passive constructions; optionally on when verbs use same major case)																								
meku	mɛku	conj	and so; and then; therefore; consequently; ergo; hence (if the first event results in the second; use consequential. if they're unrelated/independent use this)																								
meq	mɛq	conj	and (clausal)																								
mesu	mɛsu	conj	and yet																								
noth	noθ	conj	or; either/or; (either one or the other; but not both) (nominal)																								
ry	ɾə	conj	and (nominal) (often optional or can be switched with commitative; check morpho sheet before using)																								
saut	saʊt	conj	but; exception; save; yet; though; although; however (clausal)																								
sautu	saʊtu	conj	but then																								
sen	sɛn	conj	and/or (one; the other; or both) (verbal; adv; adj)																								
seun	sœn	conj	and/or (one; the other; or both) (clausal)																								
shokuy'i	ʃokuəʔi	conj	wherefore; for what reason or cause; why (archaic: lit. for reason what; also shokuyen; more often just shoku or yshokun)																								
sut	sut	conj	but; exception; except; save; and instead; yet (verbal); instead (of) (clausal specifically)																								
ae(-)	e(-)	adv	all;  --- (for all adverbs: (-)=adv agreement suffix)	(-)=adv agreement suffix																							
aniid(-)	ɑnɪd(-)	adv	until; till																								
ano(-)	ɑno(-)	adv	also; as well; too																								
anoi(-)	ɑnɔi(-)	adv	no matter (what)																								
at(-)	ɑt(-)	adv	far																								
cykui(-)	çəkui(-)	adv	unexpectedly 																								
dy(-)	də(-)	adv	for a long time; (long past/history)																								
dyn(-)	dən(-)	adv	long ago; long since past; ago; past																								
gukhes	gukʰɛs	adv	tomorrow night	time																							
guliis(n)	gulɪsn	adv	tomorrow	time																							
hen(-)	hɛn(-)	adv	close to; near (listener)																								
hni(-)	hni(-)	adv	close to; near (3rd person)																								
hryn(-)	hɾən(-)	adv	quickly																								
hun(-)	hun(-)	adv	close; near (speaker)																								
ilun(-)	ilun(-)	adv	alone																								
ilur(-)	iluɾ(-)	adv	lonely (ilunri for the adjective version)																								
ito(-)	ito(-)	adv	now; presently; at the moment																								
jen(-)	ʒɛn(-)	adv	before																								
jevh(-)	ʒɛβ(-)	adv	coldly																								
jiun(-)	ʒiun(-)	adv	often																								
kexa(-)	kɛxɑ(-)	adv	at first; at the start or beginning (from at zero)																								
kheth(-)	kʰɛθ(-)	adv	suddenly																								
khunome	kʰunomɛ	adv	it's just that; perhaps; more to the point																								
kua(-)	kuɑ(-)	adv	still; even now/still																								
kymncae(-)	kəmnçe(-)	adv	aimlessly																								
makhes	mɑkʰɛs	adv	yesterday night	time																							
maliis(n)	mɑlɪsn	adv	yesterday	time																							
meko(-)	mɛko(-)	adv	after																								
mikri(-)	mikɾi(-)	adv	definitely; fully; whole heartedly (also iimbenmik; benmikri; camynmik; camynri)																								
moa(-)	moɑ(-)	adv	almost																								
mubi(-)	mubi(-)	adv	gently; softly																								
myn(-)	mən(-)	adv	yet; still; by now; until now; so far																								
nasi(-)	nɑsi(-)	adv	no matter how (much)																								
nliis 	n̩lɪs	adv	someday; eventually (dialectally nliisn)																								
nmo(-)	nmo(-)	adv	anymore; any longer; at all																								
ntam(-)	ntɑm(-)	adv	sometimes																								
ntama(-)	ntɑmɑ(-)	adv	sometime; ever: some point																								
ome(-)	omɛ(-)	adv	after all																								
qi'a(-)	qiʔɑ(-)	adv	generally																								
roikuro	ɾɔikuɾo	adv	little by little; piece by piece (lit. pebble by pebble)																								
royth	ɾojθ / roəθ	adv	a little; a bit (lit. 2 pebbles)																								
saea(-)	seɑ(-)	adv	mostly																								
sagri	sɑɡɾi	adv	even; even to the point; encompassing; fully (to such a degree; to a degree that extends; emphasis; intensive; one of the few adv that doesn't agree)																								
syna(-)	sənɑ(-)	adv	forever; ever; on and on; always																								
syr(-)	səɾ(-)	adv	more; longer																								
syrshi	səɾʃi	adv	a bit more (lit. bite more)																								
toliis	tolɪs	adv	today (dialectally toliisn)	time																							
tsae(-)	ʦe(-)	adv	very																								
tsuae(-)	tsue(-)	adv	all around																								
tsun(-)	ʦun(-)	adv	really; rather; much; pretty; a lot; a great deal; so very (intensifier)																								
uts(-)	uts(-)	adv	high																								
vae(-)	ve(-)	adv	slowly																								
vi(-)	vi(-)	adv	once (all numbers can do this)																								
viro	viɾo	adv	once; one time																								
vitegadaj	vitɛgɑdɑʒ	adv	in a way; to a certain extent (from according to one method)																								
von(-)	von(-)	adv	low																								
wo(-)	wo(-)	adv	manner																								
wrili	ʍɾ̩ili	adv	potentially; possibly (sometimes just wril)																								
xajliis(n)	xɑʒlɪsn	adv	every day; daily	time																							
yae(-)	je(-)	adv	while; during; as 																								
yor(-)	joɾ(-)	adv	when (question word; double check it's not conditional or when as a pronoun)																								
kaukii	kaʊkɪ	adj; n	ironic/irony; flippant; tongue in cheek (lit. tongue of teeth; interdental)																								
raeh	ɾeh	adj; n	ideal; goal; perfect																								
sriat	sɾiɑt	adj; n	farthest; farthest most point(s) of something (far-est)																								
atyr	ɑtəɾ	adj; adv	further; farther (from far and comparative -yr)																								
 'a	ʔɑ	adj	small (usually affixed; o'a when subj comp)																								
 'aro	ʔɑɾo	adj	strange; weird																								
aene	enɛ	adj	watery																								
aeu	eu	adj	bright; vivid; vibrant																								
akcii	ɑcçɪ	adj	pink																								
amiik	ɑmɪk	adj	perfect; complete																								
ap'aro	ɑpʔɑɾo	adj	familiar																								
apasic	ɑpɑsiç	adj	chill; relaxed; anything but stressed																								
apkur	ɑpkuɾ	adj	evil																								
apnoamikh 	ɑpnoɑmikʰ	adj	uncooked																								
apoheun	ɑpohœn	adj	emotionless; apathetic (also ohecae)																								
apqi'mal	ɑpqiʔmɑl	adj	insane (not right mind)																								
apshokleun	ɑpʃoklœn	adj	absolutely wild; anything but tame; refusing to get domesticated																								
apuri	ɑpuɾi	adj	sick; ill																								
ash	ɑʃ	adj	red	color																							
ata	ɑtɑ	adj	flat																								
athir	ɑθiɾ	adj	divine																								
atne	ɑtnɛ	adj	far; far away																								
attakau	ɑttɑkaʊ	adj	silver tongued (sweet tongue)																								
attal	ɑttɑl	adj	sweet	taste																							
aue	aʊɛ	adj	left (direction)																								
auri	aʊɾi	adj	happy; merry; joyful; festive; celebratory mood																								
aurine	aʊɾinɛ	adj	happy; giddy; hyper																								
aya	ɑjɑ	adj	too much; too many																								
beamik	bɛɑmik	adj	well-wrapped; comfortable (dialectally baeamik)																								
bemy	bɛmə	adj	warm																								
ce	çɛ	adj	fragile; delicate																								
ceno	çɛno	adj	wrong; incorrect; untrue; false																								
chetaqun	tʃɛtɑqun	adj	drunk; inebriated																								
chisi	tʃisi	adj	sticky																								
chivhii	tʃiβɪ	adj	angry; mad																								
chun	ʧun	adj	yellow	color																							
cyap'aro	çjɑpʔɑɾo	adj	unfamiliar																								
cyfanri	çəfɑnɾi	adj	doubtful																								
cypa	çəpɑ	adj	not much; little																								
cyphy	çəɸə	adj	fluffy; squishy																								
dae	de	adj	even; balanced; level; parallel to the ground																								
daekmiikan	dekmɪkɑn	adj	graceful																								
damag	dɑmɑg	adj	worse																								
daohii	dɑohɪ	adj	dark blue	color																							
dei	dei	adj	wanted; desired; wished for																								
deiri	deiɾi	adj	wishful; yearning																								
deluqu	dɛluqu	adj	perpendicular																								
dji	dʒi	adj	poor; pitiful; sad																								
djibu	dʒibu	adj	poor; penniless; broke																								
do'yn	doʔən	adj	tired; weary; exhausted; depressed (physically)																								
dyr	dɚ	adj	brave; courageous 																								
dys	dəs	adj	long (time)																								
e	ɛ	adj	wet																								
ehresii	ɛhɾɛsɪ	adj	concept of being fully alive; lively; quick in response and alert and awake; living in the moment; experiencing everything it means to be alive																								
el	ɛl	adj	self; personal; of your own being																								
emb	ɛmb	adj	soft																								
emui	ɛmui	adj	holy; sacred; meaningful																								
enalcae	ɛnɑlçe	adj	functionless; broken																								
ephri	ɛɸɾi	adj	hairy; shaggy																								
esalii	ɛsɑlɪ	adj	alive; living; animate																								
esri	ɛsɾi	adj	lively; sprightly 																								
eumo	œmo	adj	wild; primal (esp in terms of environment)																								
fae	fe	adj	trustworthy; honest																								
faethii	feθɪ	adj	emerald green 	color																							
fan	fɑn	adj	confident																								
fecae	fɛçe	adj	windless; without wind																								
fiiliin	fɪlɪn	adj	opposite (lit across from like)																								
fosh	foʃ	adj	certain; sure (also dai)																								
fueun	fuœn	adj	lit; illuminated; lighted; incandescent (weirdly enough; not a participle but has a version that is so that tense can be applied)																								
fuii	fuɪ	adj	glowing																								
fya	fjɑ	adj	free																								
gaeleukkhen	ɡelœkkʰɛn	adj	more than one language spoken (multilingual)																								
gairi 	ɡaɪɾi	adj	narrow																								
gokir	gokiɾ	adj	automatic																								
gwulu	gwulu	adj	snow-white	color																							
gyyr	gjəɾ/gəjɾ	adj	sharp	body																							
hanan	hɑnɑn	adj	caring; nurturing																								
hashone	hɑʃonɛ	adj	witty																								
hawa'ii	hɑwɑʔɪ	adj	straight out of paradise; paradisiacal; heavenly																								
hir	hiɾ	adj	heavy																								
hoal	hoɑl	adj	exponential																								
holdon	holdon	adj	interesting; engaging																								
hrendeiri	ɾ̥ɛndeiɾi	adj	tempting (full of temptation; also hrendeij)																								
hron	hɾon	adj	tranquil; peaceful; placid; calm; still																								
hryn	hɾən	adj	quick (response)																								
hympy	həmpə	adj	nasally (nasal)																								
hytyri	hətəɾi	adj	misty; foggy (sometimes hytri)																								
ii'qe	ɪʔqɛ	adj	alert; awake																								
iila	ɪlɑ	adj	thirsty																								
iimb	ɪmb	adj	full																								
iis	ɪs	adj	all of; the full extent of																								
ikhii	ikʰɪ	adj	icy																								
ikhulu	ikʰulu	adj	ice-white	color																							
ilun	ilun	adj	alone																								
ilur	iluɾ	adj	lonely																								
iph	iɸ	adj	cool (slightly cold; personal temp)																								
irai	iɾai	adj	cruel																								
jari	ʒɑɾi	adj	cute; adorable 																								
jarigi	ʒɑɾiɡi	adj	cute overload; extremely cute																								
je'a	ʒɛʔɑ	adj	precious; dear (little -je)																								
jehun	ʒɛhun	adj	poisonous; toxic; venomous; foul; bad																								
jiu	ʒiu	adj	tart; sour																								
jukii	ʒukɪ	adj	leafy	plant																							
kangaunri	kɑŋɡaʊnɾi	adj	technical																								
kejari	kɛʒɑɾi	adj	beautiful; pretty																								
keseun	kɛsœn	adj	asleep; sleeping																								
kesii	kɛsɪ	adj	sleepy; lethargic 																								
kesma	kɛsmɑ	adj	sleepy; tired																								
ketii	kɛtɪ	adj	worthy; valuable 																								
ketke	kɛtkɛ	adj	worth																								
kewa	kɛwɑ	adj	dark; pitch black; no light																								
khae'un	kʰeʔun	adj	special																								
khen	kʰɛn	adj	more than one; multi 																								
khethne	kʰɛθnɛ	adj	sudden																								
khoseun	kʰosœn	adj	awake																								
khotsii	kʰotsɪ	adj	aware																								
khun	kʰun	adj	only; no more than; single; one remaining; just																								
khunmo'ba	kʰunmoʔbɑ	adj	just/only disappointed (implies that they're more than that though)																								
khutal	kʰutɑn	adj	nutty	taste																							
khuteun	kʰutœn	adj	brown (lit. nutty)	color																							
kilan	kilɑn	adj	vitality; verdant (bless greenery/plant)																								
kimang	kimɑŋg	adj	intimate; emotionally connected (from make known/build knowledge)																								
kjael	kʒel	adj	such (to an extreme degree)																								
koisii	kɔisɪ	adj	mischievous																								
komytal	komətɑl	adj	passionate; zealous; single-minded																								
komytsun	komətsun	adj	suspect; suspicious 																								
kshy	kʃə	adj	thin; slim; skinny																								
kuo	kuo	adj	right; correct; true; accurate																								
kuruo	kuɾuo	adj	morally right/correct																								
kuyne	kujnɛ	adj	melodical; musical																								
kwen	kʷɛn	adj	cold (personal temperature)																								
kymncae	kəmnçe	adj	aimless; reasonless; purposeless																								
len	lɛn	adj	wild; feral (especially referring to very very large creatures)																								
leukkhen	lœkkʰɛn	adj	more than one speaker (of a language)																								
li'ek	liʔɛk	adj	bitter																								
li'eun	liʔœn	adj	rotten; crap																								
li'ii	liʔɪ	adj	nasty; disgusting	taste																							
liinii	lɪnɪ	adj	similar to																								
liinne	lɪnnɛ	adj	same; identical; duplicate; twin																								
loan	loɑn	adj	empathetic																								
lonane	lonɑnɛ	adj	favorite 																								
lonari	lonɑɾi	adj	lovely																								
maira'	maɪrɑʔ	adj	wholeheartedly (lit heat force)																								
maits	maits	adj	yummy; tasty delicious																								
manine	mɑninɛ	adj	swirl; spiral																								
mbaena	m̩benɑ	adj	uncertain; undecided																								
mbaeun	m̩beun	adj	different (dialectically "mbaeem")																								
meki	mɛki	adj	green	color																							
miilik	mɪlik	adj	cute; adorable; sweet; angelic																								
miohri	miohɾi	adj	relieved; released of tension																								
miohujeun	miohuʒœn	adj	fulfilling (also hiwari)																								
miohun	miohun	adj	overwhelming relief especially after a difficult or stressful situation; sudden release of tension																								
mo'ba	moʔbɑ	adj	disappointed																								
moa	moɑ	adj	fast; quick 																								
moine	mɔinɛ	adj	willing																								
monaliin	monɑlɪn	adj	home like																								
motam	motɑm	adj	light blue	color																							
mubi	mubi	adj	gentle; soft																								
mulii	mulɪ	adj	dead																								
muqu	muqu	adj	parallel																								
na'o	nɑʔo	adj	old; ancient																								
naeal	neɑl	adj	additional																								
nei	nei	adj	teal	color																							
nesh	nɛʃ	adj	smooth; soft; without much variation																								
netari	nɛtɑɾi	adj	dutiful; responsible																								
noa	noɑ	adj	hot 																								
noabmikh 	noɑbmikʰ	adj	overcooked (also noabkaeskh)																								
noamikh	noɑmikʰ	adj	cooked																								
nonaiun	nonaɪun	adj	amber color	color																							
nos	nos	adj	quiet; soft sound; soft spoken; not loud																								
nothii	noθɪ	adj	optional (from conj either/or)																								
nreucun	nɾœçun	adj	sinister; malevolent; fell																								
nuchu	nutʃu	adj	scary; horrible; dreadful; terrible; terrifying																								
nufu	nufu	adj	hard (surface)																								
nus	nus	adj	quiet; silent; no sound																								
nyngun	nəŋgun	adj	hungry																								
nyoj	njoʒ	adj	reasonable; clear-cut; pleasing to hear/see																								
ohweun	ohʷœn; oːwœn	adj	hidden																								
okiin	okɪn	adj	appropriate; suitable; fit																								
okoi	okɔɪ	adj	purple	color																							
para	pɑɾɑ	adj	wide; broad																								
paunan	paʊnɑn	adj	multicolored 																								
phangri	ɸɑŋɡɾi	adj	mighty; strong																								
phriox	ɸiɾijox	adj	spiteful; vengeful; vindictive																								
piisken	pɪskɛn	adj	crooked (esp morally)																								
qi'al	qiʔɑl	adj	general																								
qi'mal	qiʔmɑl	adj	sane; normal; healthy mind																								
qi'me	qiʔmɛ	adj	whole; complete; healthy (mind and body)																								
qi'men	qiʔmɛn	adj	whole; entire																								
qiru	qiɾu	adj	iridescent 																								
qoane	qoɑnɛ	adj	golden																								
ra'ri	ɾɑʔɾi	adj	forceful 																								
rhiim 	ɾ̥ɪm	adj	lukewarm; tepid																								
rhivytal	r̥ivətɑl	adj	clean																								
rhnbii	r̥nbɪ	adj	lazy; languid																								
rhne	r̥nɛ	adj	calm; relaxing; de-stressing																								
rhou	ɾoʊ	adj	indigo (purple blue; from dusk)	color																							
rhyne	r̥ənɛ	adj	popular																								
riis	ɾɪs	adj	pale; seethrough; clear; translucent (also used when describing white or albino things)	color																							
riisulu	ɾɪsulu	adj	milky (white + transluscent)	color																							
rnel	ɾnɛl	adj	twilight; dark; dim																								
ru	ɾu	adj	young																								
ruba	ɾubɑ	adj	round																								
rubun	ɾubun	adj	late; too late																								
ruj	ɾuʒ	adj	good																								
rujyr	ɾuʒəɾ	adj	better																								
ruki	ɾuki	adj	shining; dazzling; glistening; sparkling 																								
rukujii	rukuʒɪ	adj	upsidedown 																								
sa'i	sɑʔi	adj	tall; high																								
sa'ii	sɑʔɪ	adj	loud; noisy 																								
samona	sɑmonɑ	adj	homesick; melancholic; nostalgic; unknowingly sad (sometimes sayomona)																								
sara	sɑɾɑ	adj	vast; stretching into the distance																								
senlii	sɛnlɪ	adj	afraid; scared																								
shai	ʃaɪ	adj	right (direction)																								
shaikho	ʃaikʰo	adj	random																								
shelal	ʃɛlɑl	adj	smelly; stinky																								
shelun	ʃɛlun	adj	fragrant																								
sheum	ʃœm	adj	steep																								
shivhal	ʃiβɑl	adj	bloody; sanguine																								
shokleun	ʃoklœn	adj	domesticated; tame																								
shu	ʃu	adj	black (color)	color																							
shum	ʃum	adj	straight																								
shupal	ʃupɑl	adj	blind																								
siene	siɛnɛ	adj	resistant																								
sieri	siɛɾi	adj	firm; solid; rigid; stiff; dense; hardened (esp used with metals)																								
sieun	siœn	adj	firm; long lasting; unyielding																								
siiiii	sɪiɪ	adj	silly; goofy; dorky																								
sikeun	sikœn	adj	thankful; glad																								
siran	siɾɑn	adj	natural; naturally occuring																								
siub	siub	adj	teary																								
siuri	siuɾi	adj	sad; sorrowful; melancholic (lit. full of tears)																								
siurii	siuɾɪ	adj	sadg; mildly sad																								
sivi	sivi	adj	long (length)																								
sobii	sobɪ	adj	deep; serious; profound																								
soshii	soʃɪ	adj	lost																								
syn	sən	adj	endless; never-ending; forever; everlasting; eternal																								
syukun	sjukun	adj	guilty; sorrowful; ashamed																								
taaji	tɑːʒi	adj	furry; fuzzy																								
tacae	tɑçe	adj	bottomless																								
taikeu	taɪkœ	adj	kind; generous; nice																								
takshy	tɑkʃə	adj	shallow (lit thin bottom)																								
tbakh	tbɑkʰ	adj	bad; awful; unlucky																								
te'amtekesma	tɛʔɑmtɛkɛsmɑ	adj	head-ache tired/brain dead (so sleep deprived your head hurts)																								
teido	teido	adj	native; naturally occuring at a certain location (from homeland source)																								
tek	tɛk	adj	hurt; injured																								
temteun	tɛmtœn	adj	threatening; dangerous																								
temun	tɛmun	adj	risky																								
tenyeo 	tɛnjɛo	adj	skilled; talented (worked to get there); often just yeo																								
tevhii	tɛβɪ	adj	tired; weary; exhausted; depressed (emotionally)																								
thoen	θoɛn	adj	deep (also ta esp as an affix)																								
tii'elun	tɪʔɛlun	adj	tidal																								
til	til	adj	empty																								
tiwc	tiwç	adj	gross; disgusting																								
tqetian	tqɛtiɑn	adj	left over; remaining (participle)																								
tsaepa	tsepɑ	adj	great; considerable; prominent																								
tsenan	tsɛnɑn	adj	last; final (used in counting)																								
tsenii	tsɛnɪ	adj	complete; finished; assembled; whole 																								
tseun	tsœn	adj	anxious; worried; unsettled (constant state of unreasonable anxiety)																								
tsitii	tsitɪ	adj	sparkling																								
tsul	tsul	adj	frozen; frigid; cold (atmospheric temperature)	weather																							
tsumani	tsumɑni	adj	dizzy; nauseous; sea sick (from spiral around)																								
tsuyori	tsujoɾi	adj	hesitant																								
twnan	tʍunɑn	adj	celestial; heavenly																								
tyeban	tjɛbɑn	adj	spiralling out of control; chaotic																								
tyelen	tʲɛlɛn	adj	crazy; out of control (from chaos wild)																								
tyemii	tjɛmɪ	adj	lit building pressure but along the lines of time bomb; thin ice; waiting for the other shoe to drop; instable or causing instability; something bound to go wrong; hot potato; accident waiting to happen																								
tyevoban	tjɛvobɑn	adj	utter chaos; completely out of control																								
tzom	dzom	adj	fat; thick																								
tzombo	dzombo	adj	obese																								
ulu	ulu	adj	white	color																							
ushecae	uʃɛçe	adj	limbless																								
vaeun	veun	adj	slow																								
vau	vaʊ	adj	open																								
