Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
Bethvel,bɛθvɛl,n,October (flower month; cor. w/ april),time,,,,,,,,,,,,,,,,,,,,,,,
bilyyng,,n,carry case; backpack,,,,,,,,,,,,,,,,,,,,,,,,
bin,,n,carpet; rug,plant,,,,,,,,,,,,,,,,,,,,,,,
bnek,bnɛk,n,belly,body,,,,,,,,,,,,,,,,,,,,,,,
bnekva,bnɛkvɑ,n,bellybutton,body,,,,,,,,,,,,,,,,,,,,,,,
bneu,bnœ,n,window,,,,,,,,,,,,,,,,,,,,,,,,
briith,bɾɪθ,n,iron,,,,,,,,,,,,,,,,,,,,,,,,
briithdir,bɾɪθdiɾ,n,forge; smithery,,,,,,,,,,,,,,,,,,,,,,,,
bu'a,buʔɑ,n,butter,food,,,,,,,,,,,,,,,,,,,,,,,
byor,bjoɾ,n,farm,,,,,,,,,,,,,,,,,,,,,,,,
byor'a,bjoɾʔɑ,n,garden (small farm),,,,,,,,,,,,,,,,,,,,,,,,
cael,çel,n,restraint; self-control,,,,,,,,,,,,,,,,,,,,,,,,
caer,çeɾ,n,castle,,,,,,,,,,,,,,,,,,,,,,,,
caera,çeɾɑ,n,hero,,,,,,,,,,,,,,,,,,,,,,,,
cai,,n,life; life lived; experiences; autumn years,,,,,,,,,,,,,,,,,,,,,,,,
caitay,,n,drive; determination; willingness to sacrifice anything even up to your life in exchange for something,,,,,,,,,,,,,,,,,,,,,,,,
caitayel,,n,self-sacrifice; considered a heroic trait,,,,,,,,,,,,,,,,,,,,,,,,
caitayojmoitohe,,n,feeling of willingness to sacrifice yourself for your child (your time/wants/needs); wanting to give everything to raise your child,,,,,,,,,,,,,,,,,,,,,,,,
cametu,çɑmɛtu,n,temperature system (celsius; cam + aretu),&,,,,,,,,,,,,,,,,,,,,,,,
cecia,,n,miracle,,,,,,,,,,,,,,,,,,,,,,,,
cheri,,n,clay,,,,,,,,,,,,,,,,,,,,,,,,
cherika,,n,potter; also used as flirtatious title ,,,,,,,,,,,,,,,,,,,,,,,,
chetaq,ʧɛtɑq,n,an alcoholic beverage,food&,,,,,,,,,,,,,,,,,,,,,,,
cheuq,,n,summit; peak; top of a mountain; snow covered mountain,,,,,,,,,,,,,,,,,,,,,,,,
chib,ʧib,n,hate; hatred,&,,,,,,,,,,,,,,,,,,,,,,,
chifet,ʧifɛt,n,anger at the world; at everything,&,,,,,,,,,,,,,,,,,,,,,,,
chivh,tʃiβ,n,rage; wrath,,,,,,,,,,,,,,,,,,,,,,,,
chivh'a,tʃiβʔa,n,anger (little rage),,,,,,,,,,,,,,,,,,,,,,,,
chome,,n,touch,,,,,,,,,,,,,,,,,,,,,,,,
chomece,,n,delicate touch; light brush,,,,,,,,,,,,,,,,,,,,,,,,
chomehl,,n,personal touch,,,,,,,,,,,,,,,,,,,,,,,,
chomekaun,,n,person's touch,,,,,,,,,,,,,,,,,,,,,,,,
chomekimang,,n,intimate touch,,,,,,,,,,,,,,,,,,,,,,,,
choyoj,ʧojoʒ,n,chick; baby bird (specifically song birds),animal,,,,,,,,,,,,,,,,,,,,,,,
chuniik,,n,lemon; kumquat (cactus lemon; lit yellow spine),food,,,,,,,,,,,,,,,,,,,,,,,
chuoren,ʧuoɾɛn,n,daydream (walking dream),,,,,,,,,,,,,,,,,,,,,,,,
chuq,tʃuq,n,feet,body,,,,,,,,,,,,,,,,,,,,,,,
chuqzi,tʃuqzi,n,foot,body,,,,,,,,,,,,,,,,,,,,,,,
chuya,ʧujɑ,n,log,tree,,,,,,,,,,,,,,,,,,,,,,,
chuyae,ʧuje,n,shell,,,,,,,,,,,,,,,,,,,,,,,,
cil,çil,n,dawn,,,,,,,,,,,,,,,,,,,,,,,,
cillyus,çilljus,n,breaking dawn,,,,,,,,,,,,,,,,,,,,,,,,
ciqt,çiqt,n,mistake,,,,,,,,,,,,,,,,,,,,,,,,
cos,ços,n,smoke,,,,,,,,,,,,,,,,,,,,,,,,
cos,,n,oil,food,,,,,,,,,,,,,,,,,,,,,,,
cosae,çose,n,steam (water smoke),,,,,,,,,,,,,,,,,,,,,,,,
coswen,,n,olive (lit. green oil),food,,,,,,,,,,,,,,,,,,,,,,,
cui,,n,juice; pulp; common name for fruit of hardy kiwi vine which makes for a common form of juice,food,,,,,,,,,,,,,,,,,,,,,,,
cuiarul,,n,pomegranate (lit juice seed),food,,,,,,,,,,,,,,,,,,,,,,,
cuiyayi,,n,hardy kiwi / kiwiberry  (hairless kiwi; lit. vine pulp; often cultivated like trees),tree,,,,,,,,,,,,,,,,,,,,,,,
cupe,çupe,n,game,,,,,,,,,,,,,,,,,,,,,,,,
cyfe,,n,doldrum; windless section of the ocean,,,,,,,,,,,,,,,,,,,,,,,,
cyn,çən,n,face,body,,,,,,,,,,,,,,,,,,,,,,,
dae,,n,balance (slightly implies precarious); sword or knife-edge; scale (from the point that the fulcrum of the scale sits),,,,,,,,,,,,,,,,,,,,,,,,
daer ,deɾ,n,column,,,,,,,,,,,,,,,,,,,,,,,,
daeyth,,n,two edged sword (adachi daeyth),,,,,,,,,,,,,,,,,,,,,,,,
dahod,dɑhod,n,mine (underground),,,,,,,,,,,,,,,,,,,,,,,,
dahodka,,n,miner (person of the mine),,,,,,,,,,,,,,,,,,,,,,,,
daiyome,,n,assurance,,,,,,,,,,,,,,,,,,,,,,,,
danu,dɑnu,n,friend,family,,,,,,,,,,,,,,,,,,,,,,,
davha,dɑβɑ,n,papa; dad (when addressing),family,,,,,,,,,,,,,,,,,,,,,,,
dei,dɛi,n,want; desire; wish,,,,,,,,,,,,,,,,,,,,,,,,
delfe ,,n,crosswind,,,,,,,,,,,,,,,,,,,,,,,,
den,dɛn,n,hands,body,,,,,,,,,,,,,,,,,,,,,,,
denae,,n,soldier,,,,,,,,,,,,,,,,,,,,,,,,
denkhud,dɛnkʰud,n,palms (hands hole),body,,,,,,,,,,,,,,,,,,,,,,,
denkhudzi,dɛnkʰudzi,n,palm ,body,,,,,,,,,,,,,,,,,,,,,,,
denzi,dɛnzi,n,hand,body,,,,,,,,,,,,,,,,,,,,,,,
desemeka,,n,moneychanger; weigher,,,,,,,,,,,,,,,,,,,,,,,,
dete,dɛtɛ,n,need; necessity,,,,,,,,,,,,,,,,,,,,,,,,
deuchik,dœʧik,n,burden; heavy thing ,,,,,,,,,,,,,,,,,,,,,,,,
devhaka,,n,spinster,,,,,,,,,,,,,,,,,,,,,,,,
dir,diɾ,n,workplace; workshop; job; company,,,,,,,,,,,,,,,,,,,,,,,,
dkai,dkai,n,mythril,*,,,,,,,,,,,,,,,,,,,,,,,
dkir,,n,pear,food,,,,,,,,,,,,,,,,,,,,,,,
dyej,djɛʒ,n,history (written or documented),,,,,,,,,,,,,,,,,,,,,,,,
dyejnaec,,n,museum (history house),,,,,,,,,,,,,,,,,,,,,,,,
dyirgma,,n,reptile,animal,,,,,,,,,,,,,,,,,,,,,,,
eb'ae,ɛbʔe,n,sea ,,,,,,,,,,,,,,,,,,,,,,,,
eb'aephn,,n,seaweed (lit. sea hair),,,,,,,,,,,,,,,,,,,,,,,,
ebchuyae,,n,seashell,,,,,,,,,,,,,,,,,,,,,,,,
ebveti,,n,sealegs,,,,,,,,,,,,,,,,,,,,,,,,
ehe,,n,ride; mount,,,,,,,,,,,,,,,,,,,,,,,,
ej,ɛʒ,n,past; history,,,,,,,,,,,,,,,,,,,,,,,,
eme,ɛmɛ,n,action,&,,,,,,,,,,,,,,,,,,,,,,,
eme'e,ɛmɛʔɛ,n,humid weather,weather,,,,,,,,,,,,,,,,,,,,,,,
ena,ɛnɑ,n,work; labor,,,,,,,,,,,,,,,,,,,,,,,,
enal,ɛnɑl,n,function,,,,,,,,,,,,,,,,,,,,,,,,
enb,ɛnb,n,thought; idea,,,,,,,,,,,,,,,,,,,,,,,,
enbauri,ɛmbaʊɾi,n,stanza; verse (lit. joyful thought; sometimes just called enbau),,,,,,,,,,,,,,,,,,,,,,,,
enbyoka,ɛmbjokɑ,n,thinker,,,,,,,,,,,,,,,,,,,,,,,,
eno,ɛno,n,performance; event; moment of accomplishment,,,,,,,,,,,,,,,,,,,,,,,,
enuvdir,ɛnuvdiɾ,n,lumber yard,,,,,,,,,,,,,,,,,,,,,,,,
enuvi,ɛnuvi,n,workable wood; lumber,tree,,,,,,,,,,,,,,,,,,,,,,,
enys,ɛnəs,n,family member ,family,,,,,,,,,,,,,,,,,,,,,,,
enysyt,ɛnəsət,n,family,family,,,,,,,,,,,,,,,,,,,,,,,
ephn,ɛɸn,n,hair,body,,,,,,,,,,,,,,,,,,,,,,,
epsi,ɛpsi,n,well (water),,,,,,,,,,,,,,,,,,,,,,,,
eqii,ɛqɪ,n,wetland; marsh,landscape,,,,,,,,,,,,,,,,,,,,,,,
eqpe,,n,forehead,body,,,,,,,,,,,,,,,,,,,,,,,
es'ae,,n,blessed water; holy water; sacrament,,,,,,,,,,,,,,,,,,,,,,,,
esa,ɛsɑ,n,life; beginning; birth,,,,,,,,,,,,,,,,,,,,,,,,
eseut,ɛsœt,n,tip; top; point; peak,,,,,,,,,,,,,,,,,,,,,,,,
esn,,n,candle,,,,,,,,,,,,,,,,,,,,,,,,
et,ɛt,n,word,,,,,,,,,,,,,,,,,,,,,,,,
etsnte,ɛtsntɛ,n,sign; indicator,,,,,,,,,,,,,,,,,,,,,,,,
eukiin,œkɪn,n,people; enthnicity; race; affix = -euk / -iin,,,,,,,,,,,,,,,,,,,,,,,,
eusn,,n,lung dragon; Chinese style dragon,,,,,,,,,,,,,,,,,,,,,,,,
eut,,n,straw; dry grass,,,,,,,,,,,,,,,,,,,,,,,,
faeka,,n,honest person,,,,,,,,,,,,,,,,,,,,,,,,
faete ,fetɛ,n,belief; truth; trust,,,,,,,,,,,,,,,,,,,,,,,,
faeth,feθ,n,emerald,,,,,,,,,,,,,,,,,,,,,,,,
fanka,,n,actor; orator,,,,,,,,,,,,,,,,,,,,,,,,
fe'a,fɛʔɑ,n,wind; breeze,weather,,,,,,,,,,,,,,,,,,,,,,,
feame'e,fɛjɑmɛʔɛ,n,windy weather,weather,,,,,,,,,,,,,,,,,,,,,,,
feraeh,,n,perfect wind (for sailing; often also kite flying),,,,,,,,,,,,,,,,,,,,,,,,
fet,fɛt,n,mosquito; annoying usless/harmful thing,animal,,,,,,,,,,,,,,,,,,,,,,,
fette,fɛttɛ,n,annoyance,,,,,,,,,,,,,,,,,,,,,,,,
fiity,fɪtə,n,rope,,,,,,,,,,,,,,,,,,,,,,,,
fusiba,,n,road; highway; trade route (maintained; lit. lit path),,,,,,,,,,,,,,,,,,,,,,,,
fute,,n,glow,,,,,,,,,,,,,,,,,,,,,,,,
futik,,n,glow cap (mushroom),plant,,,,,,,,,,,,,,,,,,,,,,,
gaeleka,gelɛkɑ,n,linguist,,,,,,,,,,,,,,,,,,,,,,,,
gaelekveu,gelɛkvœ,n,linguistics; study of languages,,,,,,,,,,,,,,,,,,,,,,,,
gaelen,gelɛn,n,language,,,,,,,,,,,,,,,,,,,,,,,,
gaelenyt,gelɛnət,n,language family (group of related languages),,,,,,,,,,,,,,,,,,,,,,,,
gliin,glɪn,n,snow melt,,,,,,,,,,,,,,,,,,,,,,,,
Gliinvel,glɪnvɛl,n,August (snow melt month; cor. w/ february),time,,,,,,,,,,,,,,,,,,,,,,,
gome,gomɛ,n,multiplication,,,,,,,,,,,,,,,,,,,,,,,,
gromt,gɾomt,n,criminal laborer/slave,,,,,,,,,,,,,,,,,,,,,,,,
guc,guç,n,cup; mug,,,,,,,,,,,,,,,,,,,,,,,,
gwen,,n,antelope,,,,,,,,,,,,,,,,,,,,,,,,
gwii,gwɪ,n,snow,weather,,,,,,,,,,,,,,,,,,,,,,,
gwiimeut,,n,snow owl,mount,,,,,,,,,,,,,,,,,,,,,,,
gwiiniliva,ɡʷɪnilivɑ,n,snowball fight,,,,,,,,,,,,,,,,,,,,,,,,
gwiinilo,ɡʷɪnilo,n,snowball,,,,,,,,,,,,,,,,,,,,,,,,
Gwiivel,gwɪvɛl,n,July (snow month; cor. w/ january),time,,,,,,,,,,,,,,,,,,,,,,,
gwiixuji,,n,snow leopard,animal,,,,,,,,,,,,,,,,,,,,,,,
gwiixujimeut,,n,snow owl cat (gryphon),mount,,,,,,,,,,,,,,,,,,,,,,,
gwl,,n,fog,,,,,,,,,,,,,,,,,,,,,,,,
gwsii,ɡʍusɪ,n,squid,animal,,,,,,,,,,,,,,,,,,,,,,,
gyyr,,n,spine; ridge; blade; edge (also dae) ,,,,,,,,,,,,,,,,,,,,,,,,
haejen,heʒɛn,n,holiday; celebration (piece of year),,,,,,,,,,,,,,,,,,,,,,,,
hanul,,n,redwood,tree,,,,,,,,,,,,,,,,,,,,,,,
harut,hɑɾut,n,lute; koto; stringed instrument,&,,,,,,,,,,,,,,,,,,,,,,,
hasho,hɑʃo,n,wit,,,,,,,,,,,,,,,,,,,,,,,,
hashr,hɑʃɾ,n,power,,,,,,,,,,,,,,,,,,,,,,,,
hatsa,hɑtsɑ,n,seasons,time,,,,,,,,,,,,,,,,,,,,,,,
he'ie,hɛʔiɛ,n,wish,,,,,,,,,,,,,,,,,,,,,,,,
heban,hɛbɑn,n,store; shop,&,,,,,,,,,,,,,,,,,,,,,,,
hebanka,hɛbɑnkɑ,n,store owner; shop keeper,&,,,,,,,,,,,,,,,,,,,,,,,
hechuq,hɛtʃuq,n,toe,body,,,,,,,,,,,,,,,,,,,,,,,
heden,hɛdɛn,n,finger,body,,,,,,,,,,,,,,,,,,,,,,,
heikh,hekʰ,n,snowflake (ice piece),,,,,,,,,,,,,,,,,,,,,,,,
heimai,hemai,n,particle of mana,,,,,,,,,,,,,,,,,,,,,,,,
heja,hɛʒɑ,n,one of your friend group; usually a best friend,,,,,,,,,,,,,,,,,,,,,,,,
hejuk,hɛʒuk,n,leaf,plant&,,,,,,,,,,,,,,,,,,,,,,,
hejyuky,,n,chrysalis (from leaf change); metamorphosis (esp leaves changing color),,,,,,,,,,,,,,,,,,,,,,,,
heleul,hɛlœl,n,invader; agitator; agressor; intruder; trespasser,,,,,,,,,,,,,,,,,,,,,,,,
hemojg,,n,hoof,body,,,,,,,,,,,,,,,,,,,,,,,
hesaej,hɛseʒ,n,particle; piece of dust/sand,,,,,,,,,,,,,,,,,,,,,,,,
het'jani,hɛtʔʒɑni,n,condemned/convicted criminal (sg and pl),,,,,,,,,,,,,,,,,,,,,,,,
hetae,,n,hunter,,,,,,,,,,,,,,,,,,,,,,,,
hetsit,,n,shoe,,,,,,,,,,,,,,,,,,,,,,,,
hetyna,hɛtənɑ,n,minute (piece of joss stick),time,,,,,,,,,,,,,,,,,,,,,,,
heukii,hœkɪ,n,tooth,body&,,,,,,,,,,,,,,,,,,,,,,,
hevhan,hɛβɑn,n,wings,body,,,,,,,,,,,,,,,,,,,,,,,
hido,,n,source; place of beginning; origin,,,,,,,,,,,,,,,,,,,,,,,,
hiis,hɪs,n,ash,,,,,,,,,,,,,,,,,,,,,,,,
hiva,hivɑ,n,fight; sport; game (playful),,,,,,,,,,,,,,,,,,,,,,,,
hivaka,hivɑkɑ,n,player; athlete,,,,,,,,,,,,,,,,,,,,,,,,
hivanka,hivɑnkɑ,n,"victor, winner",,,,,,,,,,,,,,,,,,,,,,,,
hivante,hivɑntɛ,n,win; victory,,,,,,,,,,,,,,,,,,,,,,,,
hlynna,hlənnɑ,n,vanilla (often used in teas and incense),&food,,,,,,,,,,,,,,,,,,,,,,,
hmdykat,hmədəkɑt,n,a nonsensical pastime,,,,,,,,,,,,,,,,,,,,,,,,
hmote,hmotɛ,n,one's inevitability; fate,,,,,,,,,,,,,,,,,,,,,,,,
hod,,n,system,,,,,,,,,,,,,,,,,,,,,,,,
hokya,,n,lungs,body,,,,,,,,,,,,,,,,,,,,,,,
home,homɛ,n,exponential (as in number),,,,,,,,,,,,,,,,,,,,,,,,
honte,hontɛ,n,hold; clutch/clutches; grib; grasp,,,,,,,,,,,,,,,,,,,,,,,,
huahe,huɑhɛ,n,lethal trap (used more in warfare; for unwanted pests; or for dangerous monsters),culture,,,,,,,,,,,,,,,,,,,,,,,
huang,,n,nue (lion insect),animal,,,,,,,,,,,,,,,,,,,,,,,
huing,,n,decorative chimes,culture,,,,,,,,,,,,,,,,,,,,,,,
hupu,,n,farmer; gatherer ,,,,,,,,,,,,,,,,,,,,,,,,
hupul,hupul,n,wheat,,,,,,,,,,,,,,,,,,,,,,,,
huus,,n,southern aspen,plant,,,,,,,,,,,,,,,,,,,,,,,
hva'eu,hvɑʔœ,n,puppet,,,,,,,,,,,,,,,,,,,,,,,,
hwiir,,n,snow fall,,,,,,,,,,,,,,,,,,,,,,,,
hwiirus,,n,the quiet sound (or lack there of) of snow falling,,,,,,,,,,,,,,,,,,,,,,,,
hwus,,n,crab,,,,,,,,,,,,,,,,,,,,,,,,
hyty,hətə,n,fog; mist; haze,,,,,,,,,,,,,,,,,,,,,,,,
i'ku,iʔku,n,parentheses; parenthetical information; aside; ,,,,,,,,,,,,,,,,,,,,,,,,
idi,idi,n,liquid,&,,,,,,,,,,,,,,,,,,,,,,,
ieie,,n,pot,,,,,,,,,,,,,,,,,,,,,,,,
iemnaec,iɛmneç,n,church; prayer house,&,,,,,,,,,,,,,,,,,,,,,,,
ifa,ifɑ,n,experience,,,,,,,,,,,,,,,,,,,,,,,,
ii'baya,ɪʔbɑjɑ,n,bush (little tree; usually trimmed); bonzai,culture,,,,,,,,,,,,,,,,,,,,,,,
ii'ma,ɪʔmɑ,n,flame (little fire),,,,,,,,,,,,,,,,,,,,,,,,
ii'qe'e,ɪʔqɛʔɛ,n,alarm; trap rattle (little rattle),,,,,,,,,,,,,,,,,,,,,,,,
ii'siba,ɪʔsibɑ,n,animal trail; footpath,,,,,,,,,,,,,,,,,,,,,,,,
ii'tok,ɪʔtok,n,chick; small bird (mostly for domesticated and/or just weird sounding birds),,,,,,,,,,,,,,,,,,,,,,,,
ii'tokvetyth,ɪʔtokvetəθ,n,four-legged baby chicken (don't ask why this is a thing; blame Adachi),,,,,,,,,,,,,,,,,,,,,,,,
ii'xet,ɪʔxɛt,n,garter snake (little snake),animal,,,,,,,,,,,,,,,,,,,,,,,
iib,,n,shock,,,,,,,,,,,,,,,,,,,,,,,,
iibte,,n,gasp,,,,,,,,,,,,,,,,,,,,,,,,
iik,ɪk,n,room (of house),,,,,,,,,,,,,,,,,,,,,,,,
iilajo,ɪlɑʒo,n,thirst,,,,,,,,,,,,,,,,,,,,,,,,
iimben,,n,full sail,,,,,,,,,,,,,,,,,,,,,,,,
iinae,ɪne,n,good luck; good fortune,,,,,,,,,,,,,,,,,,,,,,,,
iite,ɪtɛ,n,wave (ocean),,,,,,,,,,,,,,,,,,,,,,,,
ikh,ikʰ,n,ice,,,,,,,,,,,,,,,,,,,,,,,,
ikhano,ikʰɑno,n,iceberg,&,,,,,,,,,,,,,,,,,,,,,,,
ikhmil,,n,ice cream,food,,,,,,,,,,,,,,,,,,,,,,,
ikhoq,ikʰoq,n,blizzard,weather,,,,,,,,,,,,,,,,,,,,,,,
ikhoqro,ikʰoqɾo,n,hail storm,weather,,,,,,,,,,,,,,,,,,,,,,,
ikhro,ikʰɾo,n,hail (ice pebbles),weather,,,,,,,,,,,,,,,,,,,,,,,
ikhuji,,n,snow/ice spirit (in the form of a cat),spirit,,,,,,,,,,,,,,,,,,,,,,,
Ikhvel,ikʰvɛl,n,June (ice month; cor. w/ december),time,,,,,,,,,,,,,,,,,,,,,,,
ikhwir,ikʰwiɾ,n,Ice plain; tundra,,,,,,,,,,,,,,,,,,,,,,,,
ikhyau,ikʰjaʊ,n,icicle,,,,,,,,,,,,,,,,,,,,,,,,
ikrha,ikr̥ɑ,n,frost; hoarfrost,weather,,,,,,,,,,,,,,,,,,,,,,,
ilunmka,ilunmkɑ,n,outcast,,,,,,,,,,,,,,,,,,,,,,,,
ilunmme,ilunmmɛ,n,the punishment of banishment ,,,,,,,,,,,,,,,,,,,,,,,,
ilunte,iluntɛ,n,isolation,,,,,,,,,,,,,,,,,,,,,,,,
imai,imai,n,dust; mana (magic kind),culture,,,,,,,,,,,,,,,,,,,,,,,
imaika,imaikɑ,n,dustmancer,culture,,,,,,,,,,,,,,,,,,,,,,,
imang,,n,imai carving; rune circuit (not barrier type though),,,,,,,,,,,,,,,,,,,,,,,,
imangka,,n,imai carver (person who makes imai circuits),,,,,,,,,,,,,,,,,,,,,,,,
inaq,inɑq,n,second (time),time,,,,,,,,,,,,,,,,,,,,,,,
isa,,n,progress,,,,,,,,,,,,,,,,,,,,,,,,
isae,ise,n,glass,,,,,,,,,,,,,,,,,,,,,,,,
isnilo,isnilo,n,marble,,,,,,,,,,,,,,,,,,,,,,,,
isul,isul,n,silver (a preservative and counter to ghosts),*&,,,,,,,,,,,,,,,,,,,,,,,
isyun,isjun,n,lamp; lantern (glass light),,,,,,,,,,,,,,,,,,,,,,,,
iti,iti,n,gender,,,,,,,,,,,,,,,,,,,,,,,,
ito'a,itoʔɑ,n,present (small now),time,,,,,,,,,,,,,,,,,,,,,,,
ivje,ivʒɛ,n,fly (insect),animal,,,,,,,,,,,,,,,,,,,,,,,
iyyn,ijən,n,mouse,,,,,,,,,,,,,,,,,,,,,,,,
iyyniik,ijəntnɪk,n,hedgehog (from needle mouse),,,,,,,,,,,,,,,,,,,,,,,,
ja,ʒɑ,n,mixture,&,,,,,,,,,,,,,,,,,,,,,,,
ja,ʒɑ,n,friend group; crew; possie; homies; bros; gang (should i keep going?),&,,,,,,,,,,,,,,,,,,,,,,,
janbau,,n,chorus,,,,,,,,,,,,,,,,,,,,,,,,
jeheth,,n,snake venom,,,,,,,,,,,,,,,,,,,,,,,,
jehethmikil,,n,medicine made from snake venom,,,,,,,,,,,,,,,,,,,,,,,,
jehl,ʒɛːl,n,poison,&,,,,,,,,,,,,,,,,,,,,,,,
jehmikil,,n,medicine made from poison or venom,,,,,,,,,,,,,,,,,,,,,,,,
jehqi'mang,,n,antidote (for poison),,,,,,,,,,,,,,,,,,,,,,,,
jifu,ʒifu,n,stove,&,,,,,,,,,,,,,,,,,,,,,,,
jima,ʒimɑ,n,oven ,&,,,,,,,,,,,,,,,,,,,,,,,
jiuash,,n,blood orange (lit red sour),food,,,,,,,,,,,,,,,,,,,,,,,
jiumeki,,n,lime; orange (lit sour green),food,,,,,,,,,,,,,,,,,,,,,,,
jiuvhe,,n,mango (lit. sour orange),food,,,,,,,,,,,,,,,,,,,,,,,
jiuwen,,n,star fruit (lit sour light green),food,,,,,,,,,,,,,,,,,,,,,,,
jkai,ʒkai,n,fang,,,,,,,,,,,,,,,,,,,,,,,,
jkaitsi,ʒkaitsi,n,fang deer,,,,,,,,,,,,,,,,,,,,,,,,
jo,fjɑʒo,n,freedom,,,,,,,,,,,,,,,,,,,,,,,,
jolae,,n,duck,animal,,,,,,,,,,,,,,,,,,,,,,,
juat,ʧuʔɑt,n,bump; hill,,,,,,,,,,,,,,,,,,,,,,,,
juk,ʒuk,n,leaves,plant&,,,,,,,,,,,,,,,,,,,,,,,
juphe,ʒuɸɛ,n,scroll (paper roll),,,,,,,,,,,,,,,,,,,,,,,,
jusae,,n,sand dune,,,,,,,,,,,,,,,,,,,,,,,,
jusaupa,,n,cocoon (from leaf wrap),,,,,,,,,,,,,,,,,,,,,,,,
jyo,,n,eyes,,,,,,,,,,,,,,,,,,,,,,,,
jyozi,,n,eye,,,,,,,,,,,,,,,,,,,,,,,,
jyun,ʒjun,n,thunder,weather,,,,,,,,,,,,,,,,,,,,,,,
ka'a,kɑʔɑ,n,ink,,,,,,,,,,,,,,,,,,,,,,,,
ka'mofe,,n,leeward (away from wind),,,,,,,,,,,,,,,,,,,,,,,,
kaiciin,kaiçɪn,n,fox,animal,,,,,,,,,,,,,,,,,,,,,,,
kaiciinnuwa,,n,otter,animal,,,,,,,,,,,,,,,,,,,,,,,
kambaeka,,n,quarrier; miner (lit. stone splitter),,,,,,,,,,,,,,,,,,,,,,,,
kambaeno,,n,pickaxe (stone splitter),,,,,,,,,,,,,,,,,,,,,,,,
kandir,kɑndiɾ,n,quarry,,,,,,,,,,,,,,,,,,,,,,,,
kandirka,,n,quarrier (person of the quarry),,,,,,,,,,,,,,,,,,,,,,,,
kanimangka,,n,imai mason,,,,,,,,,,,,,,,,,,,,,,,,
kanmang,,n,stone carving,,,,,,,,,,,,,,,,,,,,,,,,
kano,kɑno,n,stone; rock; ,,,,,,,,,,,,,,,,,,,,,,,,
kantzae,kɑndze,n,rock cairn (also called tzae),,,,,,,,,,,,,,,,,,,,,,,,
kashe,kɑʃɛ,n,whisk,&,,,,,,,,,,,,,,,,,,,,,,,
kau,kaʊ,n,tongue,body,,,,,,,,,,,,,,,,,,,,,,,
kau'a,kaʊʔɑ,n,dialect,,,,,,,,,,,,,,,,,,,,,,,,
kau'ehe,,n,roof of mouth (palatal),body,,,,,,,,,,,,,,,,,,,,,,,
kauluth,,n,tongue root; back of the throat (velar),body,,,,,,,,,,,,,,,,,,,,,,,
kaun,kaʊn,n,person,,,,,,,,,,,,,,,,,,,,,,,,
kaunyt,kaʊnət,n,tribe,&,,,,,,,,,,,,,,,,,,,,,,,
keja,kɛʒɑ,n,beauty,,,,,,,,,,,,,,,,,,,,,,,,
kephunoa,kɛɸunoɑ,n,hot spring,&,,,,,,,,,,,,,,,,,,,,,,,
kephur,kɛɸuɾ,n,spring (water source),&,,,,,,,,,,,,,,,,,,,,,,,
keskseme ,kɛsksɛmɛ,n,written copy; transcription,,,,,,,,,,,,,,,,,,,,,,,,
kesme,kɛsmɛ,n,the sleep/night's rest,,,,,,,,,,,,,,,,,,,,,,,,
keth,kɛθ,n,pond; pool,,,,,,,,,,,,,,,,,,,,,,,,
kfe,kfɛ,n,grass,plant,,,,,,,,,,,,,,,,,,,,,,,
kfehm,,n,softgrass,,,,,,,,,,,,,,,,,,,,,,,,
kha,kʰɑ,n,ground; earth; land,,,,,,,,,,,,,,,,,,,,,,,,
khal,,n,moss,plant,,,,,,,,,,,,,,,,,,,,,,,
khalae,,n,algae (lit. water moss),plant,,,,,,,,,,,,,,,,,,,,,,,
khalbin,,n,carpet moss,animal,,,,,,,,,,,,,,,,,,,,,,,
khalibi,kʰɑlibi,n,potato (ground zucchini),food,,,,,,,,,,,,,,,,,,,,,,,
Khaliis,kʰɑlɪs,n,Saturday (earth day),time,,,,,,,,,,,,,,,,,,,,,,,
khashaik,,n,king's court; state officials; parliament,,,,,,,,,,,,,,,,,,,,,,,,
khenonai,kʰɛnonai,n,night amber,,,,,,,,,,,,,,,,,,,,,,,,
khes,kʰɛs,n,night,time,,,,,,,,,,,,,,,,,,,,,,,
kheskvi,kʰɛskvi,n,week (eight night),time,,,,,,,,,,,,,,,,,,,,,,,
kheskviliis,kʰeɛskvilɪs,n,week days,time,,,,,,,,,,,,,,,,,,,,,,,
khezi,kʰɛzi,n,midnight,time,,,,,,,,,,,,,,,,,,,,,,,
khiin,kʰɪn,n,north,direction,,,,,,,,,,,,,,,,,,,,,,,
khiinat,kʰɪnɑt,n,North Pole (far north),direction,,,,,,,,,,,,,,,,,,,,,,,
khit,,n,coat,,,,,,,,,,,,,,,,,,,,,,,,
khodbo,kʰodbo,n,pit; crater (big hole),,,,,,,,,,,,,,,,,,,,,,,,
khofe'a,kʰofɛʔɑ,n,wind storm,weather,,,,,,,,,,,,,,,,,,,,,,,
khojyun,kʰoʒjun,n,thunderstorm (building storm; farther off; no visible to faint lightning; rolling thunder; little to no rain),weather,,,,,,,,,,,,,,,,,,,,,,,
